# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_4  FILTER_LEN10_4	6.5e-070	   4.3e-073	        -166.63	         0.0	      524	       3992	        8557	      53860	  0.13126	2.2e-076	      1995
   1	FILTER_LEN10_6  FILTER_LEN10_6	3.5e-171	   2.3e-174	        -399.80	         0.0	      210	       3992	        4405	      53651	  0.05261	1.2e-177	      1995
   1	FILTER_LEN10_7  FILTER_LEN10_7	2.4e-879	   1.6e-882	       -2030.41	         0.0	       70	       3992	        3448	      53620	  0.01754	8.0e-886	      1995
   1	FILTER_LEN10_8  FILTER_LEN10_8	3.1e-013	   2.1e-016	         -36.12	         0.0	      574	       3992	        8490	      53871	  0.14379	1.0e-019	      1995
   1	FILTER_LEN10_9  FILTER_LEN10_9	3.7e-089	   2.5e-092	        -210.93	         0.0	      436	       3992	        7424	      53763	  0.10922	1.2e-095	      1995
   1	FILTER_LEN10_10 FILTER_LEN10_10	2.7e-007	   1.8e-010	         -22.45	         0.0	        6	       3992	         156	      53872	  0.00150	8.9e-014	      1995
   1	FILTER_LEN10_11 FILTER_LEN10_11	1.3e-328	   8.4e-332	        -762.33	         0.0	      104	       3992	        3059	      53528	  0.02605	4.2e-335	      1995
   1	FILTER_LEN10_12 FILTER_LEN10_12	1.1e-433	   7.3e-437	       -1004.24	         0.0	       76	       3992	        2740	      53820	  0.01904	3.7e-440	      1995
   1	FILTER_LEN10_16 FILTER_LEN10_16	2.5e-069	   1.7e-072	        -165.28	         0.0	       74	       3992	        1625	      53836	  0.01854	8.3e-076	      1995
   1	FILTER_LEN10_19 FILTER_LEN10_19	9.3e-009	   6.2e-012	         -25.81	         0.0	        2	       3992	          77	      53873	  0.00050	3.1e-015	      1995
   1	FILTER_LEN10_20 FILTER_LEN10_20	5.0e-008	   3.3e-011	         -24.12	         0.0	      718	       3992	       10372	      53873	  0.17986	1.7e-014	      1995
   1	FILTER_LEN10_21 FILTER_LEN10_21	1.6e-129	   1.1e-132	        -303.87	         0.0	      104	       3992	        2412	      53872	  0.02605	5.4e-136	      1995
   1	FILTER_LEN10_22 FILTER_LEN10_22	2.0e-206	   1.3e-209	        -480.97	         0.0	      150	       3992	        3466	      52424	  0.03758	6.6e-213	      1995
   1	FILTER_LEN10_25 FILTER_LEN10_25	2.5e-064	   1.6e-067	        -153.78	         0.0	      262	       3992	        4525	      52868	  0.06563	8.2e-071	      1995
   1	FILTER_LEN10_26 FILTER_LEN10_26	1.8e-788	   1.2e-791	       -1821.17	         0.0	       76	       3992	        3454	      53823	  0.01904	5.9e-795	      1995
   1	FILTER_LEN10_27 FILTER_LEN10_27	5.5e-009	   3.7e-012	         -26.32	         0.0	      210	       3992	        3248	      53820	  0.05261	1.9e-015	      1995
   1	FILTER_LEN10_28 FILTER_LEN10_28	9.0e-185	   6.0e-188	        -431.10	         0.0	      124	       3992	        2982	      53714	  0.03106	3.0e-191	      1995
   1	FILTER_LEN10_30 FILTER_LEN10_30	2.2e-024	   1.5e-027	         -61.77	         0.0	       62	       3992	        1187	      53873	  0.01553	7.5e-031	      1995
   1	FILTER_LEN10_31 FILTER_LEN10_31	2.1e-012	   1.4e-015	         -34.21	         0.0	     1194	       3992	       17051	      53864	  0.29910	7.0e-019	      1995
   1	FILTER_LEN10_36 FILTER_LEN10_36	1.7e-257	   1.1e-260	        -598.57	         0.0	      106	       3992	        2886	      53470	  0.02655	5.6e-264	      1995
   1	FILTER_LEN10_37 FILTER_LEN10_37	1.2e-085	   8.1e-089	        -202.83	         0.0	      122	       3992	        2519	      53842	  0.03056	4.1e-092	      1995
   1	FILTER_LEN10_40 FILTER_LEN10_40	6.0e-239	   4.0e-242	        -555.84	         0.0	       68	       3992	        2084	      53741	  0.01703	2.0e-245	      1995
   1	FILTER_LEN10_41 FILTER_LEN10_41	5.6e-459	   3.7e-462	       -1062.48	         0.0	       92	       3992	        3142	      53494	  0.02305	1.9e-465	      1995
   1	FILTER_LEN10_44 FILTER_LEN10_44	6.3e-034	   4.2e-037	         -83.76	         0.0	      614	       3992	        9416	      53873	  0.15381	2.1e-040	      1995
   1	FILTER_LEN10_46 FILTER_LEN10_46	1.3e-018	   9.0e-022	         -48.46	         0.0	      220	       3992	        3529	      53873	  0.05511	4.5e-025	      1995
   1	FILTER_LEN10_49 FILTER_LEN10_49	5.0e-078	   3.4e-081	        -185.30	         0.0	      110	       3992	        2280	      53853	  0.02756	1.7e-084	      1995
   1	FILTER_LEN10_50 FILTER_LEN10_50	1.6e-037	   1.0e-040	         -92.06	         0.0	      528	       3992	        8239	      53873	  0.13226	5.3e-044	      1995
   1	FILTER_LEN10_51 FILTER_LEN10_51	9.9e-017	   6.6e-020	         -44.16	         0.0	       16	       3992	         376	      53871	  0.00401	3.3e-023	      1995
   1	FILTER_LEN10_52 FILTER_LEN10_52	8.4e-023	   5.6e-026	         -58.14	         0.0	      166	       3992	        2771	      53747	  0.04158	2.8e-029	      1995
   1	FILTER_LEN10_53 FILTER_LEN10_53	1.7e-085	   1.1e-088	        -202.53	         0.0	       74	       3992	        1697	      53849	  0.01854	5.5e-092	      1995
   1	FILTER_LEN10_54 FILTER_LEN10_54	2.3e-038	   1.6e-041	         -93.96	         0.0	      306	       3992	        5017	      53817	  0.07665	7.8e-045	      1995
   1	FILTER_LEN10_55 FILTER_LEN10_55	5.1e-013	   3.4e-016	         -35.61	         0.0	      114	       3992	        1895	      53813	  0.02856	1.7e-019	      1995
   1	FILTER_LEN10_57 FILTER_LEN10_57	2.6e-198	   1.7e-201	        -462.27	         0.0	      172	       3992	        3892	      53851	  0.04309	8.7e-205	      1995
   1	FILTER_LEN10_58 FILTER_LEN10_58	1.1e-279	   7.2e-283	        -649.66	         0.0	       56	       3992	        1920	      53226	  0.01403	3.6e-286	      1995
   1	FILTER_LEN10_59 FILTER_LEN10_59	2.5e-568	   1.7e-571	       -1314.25	         0.0	      154	       3992	        4708	      53316	  0.03858	8.5e-575	      1995
   1	FILTER_LEN10_60 FILTER_LEN10_60	3.3e-044	   2.2e-047	        -107.45	         0.0	       48	       3992	        1060	      53872	  0.01202	1.1e-050	      1995
   1	FILTER_LEN10_61 FILTER_LEN10_61	3.2e-047	   2.1e-050	        -114.39	         0.0	      122	       3992	        2297	      53860	  0.03056	1.1e-053	      1995
   1	FILTER_LEN10_65 FILTER_LEN10_65	3.4e-078	   2.3e-081	        -185.68	         0.0	      398	       3992	        6772	      53858	  0.09970	1.1e-084	      1995
   1	FILTER_LEN10_66 FILTER_LEN10_66	1.9e-052	   1.2e-055	        -126.43	         0.0	      448	       3992	        7259	      53853	  0.11222	6.2e-059	      1995
   1	FILTER_LEN10_67 FILTER_LEN10_67	1.1e-007	   7.1e-011	         -23.36	         0.0	        2	       3992	          75	      53873	  0.00050	3.6e-014	      1995
   1	FILTER_LEN10_69 FILTER_LEN10_69	4.1e-027	   2.7e-030	         -68.08	         0.0	      364	       3992	        5734	      53860	  0.09118	1.4e-033	      1995
   1	FILTER_LEN10_70 FILTER_LEN10_70	5.8e-037	   3.8e-040	         -90.76	         0.0	       40	       3992	         888	      53832	  0.01002	1.9e-043	      1995
   1	FILTER_LEN10_71 FILTER_LEN10_71	6.1e-487	   4.1e-490	       -1126.87	         0.0	       84	       3992	        2909	      50193	  0.02104	2.0e-493	      1995
   1	FILTER_LEN10_74 FILTER_LEN10_74	5.7e-686	   3.8e-689	       -1585.14	         0.0	       82	       3992	        3391	      53306	  0.02054	1.9e-692	      1995
   1	FILTER_LEN10_75 FILTER_LEN10_75	3.3e-403	   2.2e-406	        -934.07	         0.0	       88	       3992	        2920	      53456	  0.02204	1.1e-409	      1995
   1	FILTER_LEN10_78 FILTER_LEN10_78	3.8e-080	   2.5e-083	        -190.18	         0.0	      106	       3992	        2219	      53703	  0.02655	1.3e-086	      1995
   1	FILTER_LEN10_79 FILTER_LEN10_79	5.7e-776	   3.8e-779	       -1792.37	         0.0	       72	       3992	        3325	      53757	  0.01804	1.9e-782	      1995
   1	FILTER_LEN10_80 FILTER_LEN10_80	3.4e-262	   2.3e-265	        -609.35	         0.0	      156	       3992	        3855	      53862	  0.03908	1.2e-268	      1995
   1	FILTER_LEN10_81 FILTER_LEN10_81	2.2e-013	   1.5e-016	         -36.44	         0.0	      314	       3992	        4813	      53861	  0.07866	7.5e-020	      1995
   1	FILTER_LEN10_82 FILTER_LEN10_82	6.1e-021	   4.1e-024	         -53.86	         0.0	        6	       3992	         196	      53844	  0.00150	2.0e-027	      1995
   1	FILTER_LEN10_83 FILTER_LEN10_83	1.7e-034	   1.1e-037	         -85.09	         0.0	      114	       3992	        2082	      53870	  0.02856	5.6e-041	      1995
   1	FILTER_LEN10_85 FILTER_LEN10_85	2.1e-024	   1.4e-027	         -61.82	         0.0	      426	       3992	        6588	      53857	  0.10671	7.1e-031	      1995
   1	FILTER_LEN10_86 FILTER_LEN10_86	2.7e-010	   1.8e-013	         -29.36	         0.0	       10	       3992	         242	      53872	  0.00251	8.9e-017	      1995
   1	FILTER_LEN10_87 FILTER_LEN10_87	2.0e-017	   1.3e-020	         -45.77	         0.0	       36	       3992	         722	      53855	  0.00902	6.6e-024	      1995
   1	FILTER_LEN10_88 FILTER_LEN10_88	2.9e-007	   2.0e-010	         -22.35	         0.0	       12	       3992	         264	      53863	  0.00301	9.8e-014	      1995
   1	FILTER_LEN10_91 FILTER_LEN10_91	5.6e-027	   3.7e-030	         -67.77	         0.0	       60	       3992	        1157	      53110	  0.01503	1.9e-033	      1995
   1	FILTER_LEN10_93 FILTER_LEN10_93	1.7e-006	   1.1e-009	         -20.61	         0.0	      136	       3992	        2036	      50968	  0.03407	5.6e-013	      1995
   1	FILTER_LEN10_94 FILTER_LEN10_94	5.6e-018	   3.8e-021	         -47.03	         0.0	       88	       3992	        1549	      53872	  0.02204	1.9e-024	      1995
   1	FILTER_LEN10_95 FILTER_LEN10_95	8.3e-062	   5.5e-065	        -147.96	         0.0	      356	       3992	        5995	      53850	  0.08918	2.8e-068	      1995
   1	FILTER_LEN10_102 FILTER_LEN10_102	3.0e-062	   2.0e-065	        -148.99	         0.0	      148	       3992	        2809	      53858	  0.03707	9.9e-069	      1995
   1	FILTER_LEN10_103 FILTER_LEN10_103	2.5e-197	   1.7e-200	        -460.00	         0.0	      262	       3992	        5407	      53798	  0.06563	8.4e-204	      1995
   1	FILTER_LEN10_108 FILTER_LEN10_108	1.4e-033	   9.1e-037	         -82.98	         0.0	        8	       3992	         272	      53781	  0.00200	4.6e-040	      1995
   1	FILTER_LEN10_109 FILTER_LEN10_109	6.2e-169	   4.1e-172	        -394.63	         0.0	      206	       3992	        4321	      53549	  0.05160	2.1e-175	      1995
   1	FILTER_LEN10_110 FILTER_LEN10_110	1.6e-044	   1.0e-047	        -108.18	         0.0	       42	       3992	         956	      53790	  0.01052	5.2e-051	      1995
