# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_0  FILTER_LEN10_0	7.4e-207	   4.9e-210	        -481.94	         0.0	      682	       3992	       12025	      53869	  0.17084	2.5e-213	      1995
   1	FILTER_LEN10_3  FILTER_LEN10_3	5.1e-461	   3.4e-464	       -1067.18	         0.0	     1512	       3992	       25680	      53866	  0.37876	1.7e-467	      1995
   1	FILTER_LEN10_5  FILTER_LEN10_5	7.3e-010	   4.9e-013	         -28.35	         0.0	     1896	       3992	       26527	      53871	  0.47495	2.5e-016	      1995
   1	FILTER_LEN10_13 FILTER_LEN10_13	1.2e-011	   7.8e-015	         -32.48	         0.0	     1972	       3992	       27611	      53873	  0.49399	3.9e-018	      1995
   1	FILTER_LEN10_14 FILTER_LEN10_14	2.2e-3052	   1.5e-3055	       -7034.00	         0.0	      998	       3992	       26247	      53801	  0.25000	7.4e-3059	      1995
   1	FILTER_LEN10_29 FILTER_LEN10_29	7.6e-030	   5.1e-033	         -74.36	         0.0	      406	       3992	        6378	      53861	  0.10170	2.6e-036	      1995
   1	FILTER_LEN10_33 FILTER_LEN10_33	1.5e-030	   9.8e-034	         -76.01	         0.0	     2042	       3992	       29025	      53871	  0.51152	4.9e-037	      1995
   1	FILTER_LEN10_34 FILTER_LEN10_34	1.7e-368	   1.1e-371	        -854.16	         0.0	      782	       3992	       14528	      53873	  0.19589	5.5e-375	      1995
   1	FILTER_LEN10_45 FILTER_LEN10_45	1.6e-701	   1.1e-704	       -1620.96	         0.0	     1220	       3992	       22734	      53870	  0.30561	5.3e-708	      1995
   1	FILTER_LEN10_62 FILTER_LEN10_62	1.2e-194	   8.3e-198	        -453.80	         0.0	     1602	       3992	       25084	      53872	  0.40130	4.1e-201	      1995
   1	FILTER_LEN10_63 FILTER_LEN10_63	5.7e-1048	   3.8e-1051	       -2418.68	         0.0	     1404	       3992	       26840	      53873	  0.35170	1.9e-1054	      1995
   1	FILTER_LEN10_72 FILTER_LEN10_72	4.4e-011	   3.0e-014	         -31.15	         0.0	      336	       3992	        5089	      53872	  0.08417	1.5e-017	      1995
   1	FILTER_LEN10_73 FILTER_LEN10_73	1.7e-1637	   1.1e-1640	       -3776.12	         0.0	     1208	       3992	       25947	      53859	  0.30261	5.7e-1644	      1995
   1	FILTER_LEN10_76 FILTER_LEN10_76	1.2e-693	   8.1e-697	       -1602.81	         0.0	     1406	       3992	       25382	      53872	  0.35220	4.1e-700	      1995
   1	FILTER_LEN10_77 FILTER_LEN10_77	1.1e-006	   7.3e-010	         -21.04	         0.0	      754	       3992	       10821	      53810	  0.18888	3.7e-013	      1995
   1	FILTER_LEN10_84 FILTER_LEN10_84	2.1e-095	   1.4e-098	        -225.32	         0.0	     1362	       3992	       20758	      53872	  0.34118	7.0e-102	      1995
   1	FILTER_LEN10_89 FILTER_LEN10_89	3.5e-252	   2.4e-255	        -586.30	         0.0	     1072	       3992	       18083	      53873	  0.26854	1.2e-258	      1995
   1	FILTER_LEN10_100 FILTER_LEN10_100	1.7e-117	   1.1e-120	        -276.18	         0.0	     1670	       3992	       25257	      53870	  0.41834	5.7e-124	      1995
   1	FILTER_LEN10_101 FILTER_LEN10_101	4.4e-088	   2.9e-091	        -208.46	         0.0	     1630	       3992	       24359	      53873	  0.40832	1.5e-094	      1995
   1	FILTER_LEN10_107 FILTER_LEN10_107	1.5e-064	   1.0e-067	        -154.24	         0.0	      726	       3992	       11422	      53872	  0.18186	5.2e-071	      1995
   1	FILTER_LEN10_117 FILTER_LEN10_117	2.4e-628	   1.6e-631	       -1452.45	         0.0	     1586	       3992	       27603	      53873	  0.39729	8.1e-635	      1995
   1	FILTER_LEN10_143 FILTER_LEN10_143	4.2e-612	   2.8e-615	       -1415.07	         0.0	     1326	       3992	       23848	      53873	  0.33216	1.4e-618	      1995
   1	FILTER_LEN10_146 FILTER_LEN10_146	1.4e-814	   9.2e-818	       -1881.30	         0.0	     1038	       3992	       20517	      53870	  0.26002	4.6e-821	      1995
   1	FILTER_LEN10_147 FILTER_LEN10_147	6.2e-094	   4.2e-097	        -221.92	         0.0	     1272	       3992	       19488	      53870	  0.31864	2.1e-100	      1995
   1	FILTER_LEN10_161 FILTER_LEN10_161	6.6e-037	   4.4e-040	         -90.62	         0.0	     1194	       3992	       17588	      53873	  0.29910	2.2e-043	      1995
   1	FILTER_LEN10_184 FILTER_LEN10_184	2.6e-653	   1.8e-656	       -1509.94	         0.0	     1410	       3992	       25248	      53871	  0.35321	8.8e-660	      1995
   1	FILTER_LEN10_188 FILTER_LEN10_188	2.6e-328	   1.7e-331	        -761.61	         0.0	     1558	       3992	       25496	      53867	  0.39028	8.7e-335	      1995
   1	FILTER_LEN10_195 FILTER_LEN10_195	1.9e-050	   1.3e-053	        -121.81	         0.0	     1612	       3992	       23567	      53871	  0.40381	6.3e-057	      1995
   1	FILTER_LEN10_196 FILTER_LEN10_196	6.9e-040	   4.6e-043	         -97.49	         0.0	     1138	       3992	       16865	      53872	  0.28507	2.3e-046	      1995
   1	FILTER_LEN10_201 FILTER_LEN10_201	4.5e-580	   3.0e-583	       -1341.32	         0.0	      940	       3992	       18003	      53873	  0.23547	1.5e-586	      1995
   1	FILTER_LEN10_204 FILTER_LEN10_204	2.2e-1025	   1.5e-1028	       -2366.66	         0.0	     1168	       3992	       23300	      53870	  0.29259	7.5e-1032	      1995
   1	FILTER_LEN10_207 FILTER_LEN10_207	3.8e-009	   2.6e-012	         -26.69	         0.0	      140	       3992	        2236	      53837	  0.03507	1.3e-015	      1995
   1	FILTER_LEN10_212 FILTER_LEN10_212	8.6e-469	   5.7e-472	       -1085.07	         0.0	     1438	       3992	       24686	      53870	  0.36022	2.9e-475	      1995
   1	FILTER_LEN10_214 FILTER_LEN10_214	1.3e-502	   9.0e-506	       -1162.91	         0.0	     1382	       3992	       24082	      53873	  0.34619	4.5e-509	      1995
   1	FILTER_LEN10_219 FILTER_LEN10_219	4.3e-031	   2.9e-034	         -77.24	         0.0	      430	       3992	        6742	      53873	  0.10772	1.4e-037	      1995
   1	FILTER_LEN10_222 FILTER_LEN10_222	5.7e-099	   3.8e-102	        -233.53	         0.0	     1654	       3992	       24823	      53872	  0.41433	1.9e-105	      1995
   1	FILTER_LEN10_226 FILTER_LEN10_226	1.9e-027	   1.3e-030	         -68.84	         0.0	     1570	       3992	       22556	      53855	  0.39329	6.4e-034	      1995
   1	FILTER_LEN10_235 FILTER_LEN10_235	3.3e-642	   2.2e-645	       -1484.38	         0.0	     1038	       3992	       19767	      53866	  0.26002	1.1e-648	      1995
   1	FILTER_LEN10_247 FILTER_LEN10_247	1.2e-292	   7.9e-296	        -679.50	         0.0	     1434	       3992	       23521	      53871	  0.35922	3.9e-299	      1995
   1	FILTER_LEN10_253 FILTER_LEN10_253	3.0e-947	   2.0e-950	       -2186.76	         0.0	     1344	       3992	       25583	      53873	  0.33667	1.0e-953	      1995
   1	FILTER_LEN10_256 FILTER_LEN10_256	1.2e-019	   8.0e-023	         -50.88	         0.0	       94	       3992	        1655	      53836	  0.02355	4.0e-026	      1995
   1	FILTER_LEN10_257 FILTER_LEN10_257	1.2e-017	   7.9e-021	         -46.29	         0.0	      390	       3992	        5970	      53867	  0.09770	3.9e-024	      1995
   1	FILTER_LEN10_266 FILTER_LEN10_266	3.6e-5436	   2.4e-5439	      -12522.90	         0.0	      936	       3992	       27282	      47586	  0.23447	1.2e-5442	      1995
   1	FILTER_LEN10_275 FILTER_LEN10_275	3.0e-1991	   2.0e-1994	       -4590.67	         0.0	     1168	       3992	       26301	      53711	  0.29259	1.0e-1997	      1995
   1	FILTER_LEN10_277 FILTER_LEN10_277	2.4e-486	   1.6e-489	       -1125.51	         0.0	     1278	       3992	       22506	      53870	  0.32014	7.9e-493	      1995
   1	FILTER_LEN10_279 FILTER_LEN10_279	1.7e-441	   1.1e-444	       -1022.22	         0.0	     1484	       3992	       25177	      53873	  0.37174	5.7e-448	      1995
   1	FILTER_LEN10_285 FILTER_LEN10_285	1.2e-778	   8.2e-782	       -1798.52	         0.0	     1020	       3992	       20093	      53863	  0.25551	4.1e-785	      1995
   1	FILTER_LEN10_310 FILTER_LEN10_310	5.1e-138	   3.4e-141	        -323.44	         0.0	      974	       3992	       15746	      53872	  0.24399	1.7e-144	      1995
   1	FILTER_LEN10_313 FILTER_LEN10_313	2.3e-009	   1.5e-012	         -27.20	         0.0	     1664	       3992	       23369	      53869	  0.41683	7.7e-016	      1995
