# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_0  FILTER_LEN10_0	4.8e-094	   3.2e-097	        -222.19	       -47.0	       77	        171	         341	        352	  0.45029	2.2e-101	     14703
   1	FILTER_LEN10_1  FILTER_LEN10_1	3.7e-144	   2.4e-147	        -337.59	       -42.0	       87	        171	         583	        595	  0.50877	1.7e-151	     14703
   1	FILTER_LEN10_2  FILTER_LEN10_2	1.6e-105	   1.1e-108	        -248.59	       -45.0	       81	        171	         435	        455	  0.47368	7.4e-113	     14703
   1	FILTER_LEN10_3  FILTER_LEN10_3	2.7e-129	   1.8e-132	        -303.34	       -49.0	       73	        171	         479	        509	  0.42690	1.2e-136	     14703
   1	FILTER_LEN10_4  FILTER_LEN10_4	1.2e-097	   8.3e-101	        -230.44	       -44.5	       82	        171	         423	        445	  0.47953	5.6e-105	     14703
   1	FILTER_LEN10_5  FILTER_LEN10_5	5.4e-114	   3.6e-117	        -268.13	       -44.0	       83	        171	         507	        535	  0.48538	2.4e-121	     14703
   1	FILTER_LEN10_6  FILTER_LEN10_6	7.5e-084	   5.0e-087	        -198.71	       -47.0	       77	        171	         343	        364	  0.45029	3.4e-091	     14703
   1	FILTER_LEN10_7  FILTER_LEN10_7	6.0e-077	   4.0e-080	        -182.82	       -41.0	       89	        171	         315	        318	  0.52047	2.7e-084	     14703
   1	FILTER_LEN10_8  FILTER_LEN10_8	2.0e-111	   1.3e-114	        -262.22	       -42.0	       87	        171	         465	        476	  0.50877	8.9e-119	     14703
   1	FILTER_LEN10_9  FILTER_LEN10_9	8.8e-093	   5.8e-096	        -219.28	       -41.5	       88	        171	         387	        394	  0.51462	4.0e-100	     14703
   1	FILTER_LEN10_10 FILTER_LEN10_10	1.6e-119	   1.0e-122	        -280.87	       -48.5	       74	        171	         428	        448	  0.43275	7.1e-127	     14703
   1	FILTER_LEN10_11 FILTER_LEN10_11	2.7e-066	   1.8e-069	        -158.28	       -47.0	       77	        171	         307	        335	  0.45029	1.2e-073	     14703
   1	FILTER_LEN10_12 FILTER_LEN10_12	1.2e-111	   8.3e-115	        -262.68	       -48.5	       74	        171	         405	        425	  0.43275	5.6e-119	     14703
   1	FILTER_LEN10_13 FILTER_LEN10_13	1.4e-113	   9.0e-117	        -267.20	       -43.0	       85	        171	         490	        509	  0.49708	6.1e-121	     14703
