DB 0 MOTIF	FILTER_LEN10_0
 -85.0	5
 -84.0	4
 -83.0	5
 -82.0	4
 -81.0	6
 -80.0	5
 -79.0	4
 -78.0	1
 -77.0	8
 -76.0	3
 -75.0	4
 -74.0	4
 -73.0	6.5
 -72.0	4
 -71.0	5
 -70.0	7
 -69.0	6
 -68.0	4
 -67.0	8
 -66.0	4
 -65.0	8
 -64.0	5
 -63.0	4
 -62.0	2
 -61.0	2
 -60.0	7
 -59.0	5
 -58.0	2
 -57.0	6
 -56.0	2
 -55.0	8
 -54.0	2
 -53.0	6
 -52.0	3
 -51.0	4
 -50.0	5
 -49.0	5
 -48.0	11
 -47.0	4
 -46.0	5
 -45.0	5
 -44.0	5
 -43.0	4
 -42.0	4
 -41.0	4
 -40.0	4
 -39.0	0
 -38.0	12
 -37.0	4
 -36.0	4
 -35.0	5
 -34.0	9
 -33.0	9
 -32.0	9
 -31.0	3
 -30.0	3.5
 -29.0	2
 -28.0	1
 -27.0	9
 -26.0	4
 -25.0	3
 -24.0	0
 -23.0	4
 -22.0	5
 -21.0	2
 -20.0	3
 -19.0	3
 -18.0	2
 -17.0	3
 -16.0	2
 -15.0	2
 -14.0	4
 -13.0	2
 -12.0	5
 -11.0	4
 -10.0	1
  -9.0	2
  -8.0	1
  -7.0	1
  -6.0	0
  -5.0	1
  -4.0	2
  -3.0	0
  -2.0	1
  -1.0	0
   0.0	1
   1.0	0
   2.0	0
   3.0	0
   4.0	0
   5.0	0
   6.0	1
   7.0	0
   8.0	1
   9.0	0
  10.0	0
  11.0	0
  12.0	0
  13.0	0
  14.0	0
  15.0	1
  16.0	0
  17.0	0
  18.0	0
  19.0	0
  20.0	0
  21.0	0
  22.0	0
  23.0	0
  24.0	0
  25.0	0
  26.0	1
  27.0	0
  28.0	0
  29.0	0
  30.0	0
  31.0	0
  32.0	0
  33.0	0
  34.0	0
  35.0	0
  36.0	0
  37.0	0
  38.0	0
  39.0	0
  40.0	0
  41.0	0
  42.0	0
  43.0	0
  44.0	0
  45.0	0
  46.0	0
  47.0	0
  48.0	0
  49.0	0
  50.0	0
  51.0	0
  52.0	0
  53.0	0
  54.0	0
  55.0	0
  56.0	0
  57.0	0
  58.0	0
  59.0	0
  60.0	0
  61.0	0
  62.0	0
  63.0	0
  64.0	0
  65.0	0
  66.0	0
  67.0	0
  68.0	0
  69.0	0
  70.0	0
  71.0	0
  72.0	0
  73.0	0
  74.0	0
  75.0	0
  76.0	0
  77.0	0
  78.0	0
  79.0	0
  80.0	0
  81.0	0
  82.0	0
  83.0	0
  84.0	0
  85.0	0
DB 0 MOTIF	FILTER_LEN10_1
 -85.0	8
 -84.0	5
 -83.0	15
 -82.0	12
 -81.0	8.5
 -80.0	9
 -79.0	5.5
 -78.0	4
 -77.0	7
 -76.0	13
 -75.0	10
 -74.0	8
 -73.0	9
 -72.0	14
 -71.0	10
 -70.0	5
 -69.0	10
 -68.0	8
 -67.0	12
 -66.0	13
 -65.0	16
 -64.0	4
 -63.0	9
 -62.0	7
 -61.0	12
 -60.0	8
 -59.0	3
 -58.0	12
 -57.0	6
 -56.0	8.5
 -55.0	14
 -54.0	10
 -53.0	17
 -52.0	9.5
 -51.0	7.5
 -50.0	5
 -49.0	7
 -48.0	5
 -47.0	2.5
 -46.0	6
 -45.0	2
 -44.0	11
 -43.0	9
 -42.0	3
 -41.0	8
 -40.0	6
 -39.0	4
 -38.0	5
 -37.0	9
 -36.0	7
 -35.0	7
 -34.0	15
 -33.0	9.5
 -32.0	4
 -31.0	5.5
 -30.0	5
 -29.0	2
 -28.0	3
 -27.0	12
 -26.0	5
 -25.0	3
 -24.0	7
 -23.0	4
 -22.0	7
 -21.0	5
 -20.0	4
 -19.0	3.33333
 -18.0	2
 -17.0	2
 -16.0	3
 -15.0	5
 -14.0	4
 -13.0	6
 -12.0	4
 -11.0	6
 -10.0	3
  -9.0	2
  -8.0	6
  -7.0	0
  -6.0	1
  -5.0	2
  -4.0	5
  -3.0	1
